Area,Table,Record,Problem,Current Value,Required Value,Type,Reference
Plan Values,Cash Values,960ADB / M / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,960CWP / M / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,960GIO / M / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,960SWP / F / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,960SWP / M / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,965ADB / F / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,965ADB / M / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9665WP / F / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9665WP / M / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,967ADB / M / SM / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,976659 / F / NS / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,976659 / M / NS / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,977ADB / M / SM / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,980JPO / M / SM / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,982JPO / M / SM / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9896WP / F / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9896WP / M / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,996ADB / F / PR / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,996ADB / M / PR / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9ADB10 / F / PR / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9ADB10 / M / PR / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9CDTWP / M / PR / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9CTRWP / M / SM / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9DIS20 / M / SM / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9DIS24 / M / SM / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9DIS25 / M / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
Plan Values,Cash Values,9DIS29 / M / NS / 00,The ETI mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-002
