POLICY_NUMBER,ORIG_LOAN_AMOUNT,LOAN_AMT_ADDED,LOAN_BALANCE,MLOANPRIN_STAGING,MLOANBAL_STAGING,BA_REVIEW_FLAG
9010499674,712.33,-712.33,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010500769,149.31,-149.31,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010501142,0.55,-0.55,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010501836,3130.34,-3130.34,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010502995,1504.73,-1504.73,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010502996,2089.78,-2089.78,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010510553,1911.37,-1911.37,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010510671,7050.43,-7050.43,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010510979,1363.44,-1363.44,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010511203,0.07,-0.07,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010513711,121.32,6.39,127.71,127.71,127.71,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010518048,6902.01,325.59,7227.6,7227.60,7227.60,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010518049,3352.67,158.15,3510.82,3510.82,3510.82,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010518545,6743.43,354.92,7098.35,7098.35,7098.35,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010520217,205.87,10.84,216.71,216.71,216.71,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010520451,2508.85,132.04,2640.89,2640.89,2640.89,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010521651,3786.6,-3786.6,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010523058,1143.73,-1143.73,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010525250,1401.12,-1401.12,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010526524,3707.99,-3707.99,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010529613,1868.53,89.79,1958.32,1958.32,1958.32,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010529993,1.09,-1.09,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010532612,5042.01,-5042.01,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010544182,3400.0,-3400.0,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010545623,192.96,-192.96,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010546964,15475.5,814.5,16290.0,16290.00,16290.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010547021,10327.73,543.56,10871.29,10871.29,10871.29,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010547488,2665.12,-2665.12,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010549966,672.31,-672.31,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010550088,357.84,18.83,376.67,376.67,376.67,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010550564,4537.29,-4537.29,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010564241,725.58,-725.58,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010565013,4662.83,245.41,4908.24,4908.24,4908.24,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010567983,25.82,1.36,27.18,27.18,27.18,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010583923,7763.1,-7763.1,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010586005,47.76,-47.76,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010639996,1081.66,-1081.66,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010653596,11.01,0.29,11.3,11.30,11.30,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010718278,11.23,-11.23,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010719815,513.22,41.01,554.23,554.23,554.23,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010722516,8966.0,389.72,9355.72,9355.72,9355.72,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010722734,912.0,72.88,984.88,984.88,984.88,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010726104,277.92,-277.92,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010728696,1036.69,82.85,1119.54,1119.54,1119.54,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010730647,6212.82,-6212.82,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010730780,35.78,-35.78,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010731970,4580.97,-4580.97,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010733472,5816.53,-5816.53,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010733665,687.75,54.96,742.71,742.71,742.71,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010735585,30.0,2.4,32.4,32.40,32.40,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010736035,67404.71,-67404.71,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010736283,2755.3,-2755.3,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010736935,15235.65,1217.54,16453.19,16453.19,16453.19,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010738161,93.4,4.62,98.02,98.02,98.02,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010738539,308.53,-308.53,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010741234,33.3,-33.3,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010741334,1639.26,-1639.26,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010741943,10451.57,-10451.57,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010743395,9705.53,-9705.53,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010743832,4782.98,55.48,4838.46,4838.46,4838.46,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010745749,32.4,2.59,34.99,34.99,34.99,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010745811,136.15,-136.15,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010746846,271.0,21.66,292.66,292.66,292.66,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010747243,16421.25,358.04,16779.29,16779.29,16779.29,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010747320,2.6,-2.6,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010747636,134.75,10.77,145.52,145.52,145.52,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010748070,42.05,2.5,44.55,44.55,44.55,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010748073,4931.51,122.61,5054.12,5054.12,5054.12,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010748300,9022.12,-9022.12,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010748334,18.82,-18.82,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010748335,18.43,-18.43,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010749053,8358.3,-8358.3,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010749401,9195.85,360.38,9556.23,9556.23,9556.23,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
