SOURCE_POLICY,MPOLICY,PLAN_CODE,QLA_PLAN,MLOANINTX,MLOANINTX_SOURCE,MLOANINTX_RAW_QUIKPLAN,NOTE
9011082681,011082681C,659 CEN SR,1659CR,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011087127,011087127C,659 CEN II,1659C2,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011087128,011087128C,659 CEN II,1659C2,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011087230,011087230C,658 CEN I,1658C1,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011089397,011089397C,659 CEN II,1659C2,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011092549,011092549C,L10 PRE97,1L10OD,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011095330,011095330C,L10 PRE97,1L10OD,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011095851,011095851C,L10 SR OLD,1L10SO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011096068,011096068C,L10 PRE97,1L10OD,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011100907,011100907C,L10 SR OLD,1L10SO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011101578,011101578C,L10 SR OLD,1L10SO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011101607,011101607C,659 CEN II,1659C2,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011102270,011102270C,L10 PRE97,1L10OD,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011102551,011102551C,659 CEN II,1659C2,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011102787,011102787C,L10 PRE97,1L10OD,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011104064,011104064C,L10 SR OLD,1L10SO,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011105008,011105008C,L10 PRE97,1L10OD,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011105232,011105232C,L10 PRE97,1L10OD,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011105385,011105385C,L10 PRE97,1L10OD,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
9011105386,011105386C,L10 PRE97,1L10OD,A,default,22,QuikPlan LOANINTX missing or invalid; applied mloanintx_default.
