POLICY_NUMBER,ACCRUAL_DATE,LAST_CHG_DATE,LAST_CHG_TIME,LOAN_BALANCE,ORIG_LOAN_AMOUNT,LOAN_AMT_ADDED,ACCRUED_INT_AMT,INTEREST_RATE,INTEREST_TYPE,INT_METHOD,STATUS_CODE,TYPE_CODE,LAST_REPAY_DATE,CAPITALIZED_DATE,INT_START_DATE,_LATEST_BALANCE_CLASS
9010831150   ,    20140310,     20140310,       194155,         .00,           69.27,        -69.27,            .00,        .0740,F            ,D         ,H          ,R        ,       20140310,               0,      20140310,ZERO_BALANCE_HOLD
9010831478   ,    20260323,     20260324,       113140,     1369.90,         1473.07,       -103.17,            .00,        .0740,F            ,D         ,H          ,R        ,       20250306,               0,      20260323,ACTIVE_CANDIDATE
9010832626   ,    20190112,     20190103,       132752,         .00,         4727.42,      -4727.42,            .00,        .0740,F            ,D         ,H          ,         ,       20190112,               0,      20190112,ZERO_BALANCE_HOLD
9010832740   ,    20210423,     20210423,       181605,     6539.61,         6055.68,        483.93,            .00,        .0740,F            ,D         ,R          ,R        ,       20180509,        20210423,      20210423,ACTIVE_CANDIDATE
9010833382   ,    20260526,     20260526,       181049,    13015.36,        12228.52,        786.84,            .00,        .0740,F            ,D         ,A          ,R        ,       20260526,        20260526,      20260526,ACTIVE_CANDIDATE
9010833467   ,    20210213,     20210414,       183029,         .00,         7150.12,      -7150.12,            .00,        .0740,F            ,D         ,H          ,         ,       20210213,               0,      20210213,ZERO_BALANCE_HOLD
9010834414   ,    20210626,     20210603,       104320,     3361.46,         3560.42,       -198.96,            .00,        .0740,F            ,D         ,H          ,         ,              0,               0,      20210626,ACTIVE_CANDIDATE
9010834430   ,    20181204,     20190104,       140552,         .00,        10872.85,     -10872.85,            .00,        .0740,F            ,D         ,H          ,         ,       20181204,               0,      20181204,ZERO_BALANCE_HOLD
9010834489   ,    20100401,     20100413,        93923,         .00,           28.07,        -28.07,            .00,        .0740,F            ,D         ,H          ,R        ,       20100401,               0,      20100401,ZERO_BALANCE_HOLD
9010834689   ,    20211130,     20211228,       144124,         .00,         2531.36,      -2531.36,            .00,        .0740,F            ,D         ,H          ,         ,       20211130,               0,      20211130,ZERO_BALANCE_HOLD
9010834690   ,    20240928,     20241104,       111923,         .00,         1496.04,      -1496.04,            .00,        .0740,F            ,D         ,H          ,         ,       20240928,               0,      20240928,ZERO_BALANCE_HOLD
9010835334   ,    20040506,     20040507,       161248,         .00,         2233.67,      -2233.67,            .00,        .0740,F            ,D         ,H          ,         ,       20040506,               0,      20040506,ZERO_BALANCE_HOLD
9010836265   ,    20040712,     20040712,       160130,         .10,             .11,          -.01,            .00,        .0740,F            ,D         ,H          ,R        ,       20040708,               0,      20040712,ACTIVE_CANDIDATE
9010838863   ,    20180501,     20180516,        81402,         .00,          631.70,       -631.70,            .00,        .0740,F            ,D         ,H          ,R        ,       20180501,               0,      20180501,ZERO_BALANCE_HOLD
9010839290   ,    20160512,     20160711,       195548,         .00,         3780.41,      -3780.41,            .00,        .0740,F            ,D         ,H          ,         ,       20160512,               0,      20160512,ZERO_BALANCE_HOLD
9010839783   ,    20150201,     20150402,       195155,         .00,         5054.60,      -5054.60,            .00,        .0740,F            ,D         ,H          ,         ,       20150201,               0,      20150201,ZERO_BALANCE_HOLD
9010839784   ,    20250714,     20250714,       180152,    13198.25,        12221.58,        976.67,            .00,        .0740,F            ,D         ,A          ,R        ,              0,        20250714,      20250714,ACTIVE_CANDIDATE
9010840848   ,    20130526,     20130725,       193940,      170.09,          157.50,         12.59,            .00,        .0740,F            ,D         ,R          ,A        ,              0,        20130526,      20130526,ACTIVE_CANDIDATE
9010841782   ,    20260408,     20260409,       135557,     4546.15,         4481.56,         64.59,            .00,        .0740,F            ,D         ,A          ,R        ,       20260408,        20260408,      20260408,ACTIVE_CANDIDATE
9010841783   ,    20260518,     20260518,       124105,     4632.62,         4605.38,         27.24,            .00,        .0740,F            ,D         ,A          ,R        ,       20260518,        20260518,      20260518,ACTIVE_CANDIDATE
9010842016   ,    20230608,     20230808,        85113,         .00,            3.82,         -3.82,            .00,        .0740,F            ,D         ,H          ,R        ,       20230808,               0,      20230808,ZERO_BALANCE_HOLD
9010842017   ,    20210415,     20210415,       184248,         .00,          544.56,       -544.56,            .00,        .0740,F            ,D         ,H          ,R        ,       20210415,               0,      20210415,ZERO_BALANCE_HOLD
9010842026   ,    20100201,     20100202,       130508,         .00,         2553.79,      -2553.79,            .00,        .0740,F            ,D         ,H          ,         ,       20100201,               0,      20100201,ZERO_BALANCE_HOLD
9010842291   ,    20210915,     20211130,        85540,         .00,         6675.66,      -6675.66,            .00,        .0740,F            ,D         ,R          ,         ,       20210915,               0,      20210915,ZERO_BALANCE_HOLD
9010842857   ,    20210616,     20210816,       183905,      216.52,          200.50,         16.02,            .00,        .0740,F            ,D         ,R          ,A        ,              0,        20210616,      20210616,ACTIVE_CANDIDATE
9010842863   ,    20210617,     20210629,       151630,         .00,        13725.81,     -13725.81,            .00,        .0740,F            ,D         ,H          ,         ,       20210617,               0,      20210617,ZERO_BALANCE_HOLD
9010842962   ,    20150309,     20150309,       203747,         .00,           44.37,        -44.37,            .00,        .0740,F            ,D         ,H          ,R        ,       20150309,               0,      20150309,ZERO_BALANCE_HOLD
9010844069   ,    20260421,     20260422,        84808,         .00,          361.10,       -361.10,            .00,        .0740,F            ,D         ,H          ,         ,       20260421,               0,      20260421,ZERO_BALANCE_HOLD
9010844322   ,    20190701,     20190909,       143601,         .00,        23531.76,     -23531.76,            .00,        .0740,F            ,D         ,H          ,         ,       20190701,               0,      20190701,ZERO_BALANCE_HOLD
9010844496   ,    20170716,     20170914,       190050,         .00,         6398.21,      -6398.21,            .00,        .0740,F            ,D         ,H          ,         ,       20170716,               0,      20170716,ZERO_BALANCE_HOLD
9010845307   ,    20120807,     20120808,        91220,         .00,          652.69,       -652.69,            .00,        .0740,F            ,D         ,H          ,R        ,       20120807,               0,      20120807,ZERO_BALANCE_HOLD
9010845706   ,    20130714,     20130912,       195249,       88.30,           81.77,          6.53,            .00,        .0740,F            ,D         ,R          ,A        ,              0,        20130714,      20130714,ACTIVE_CANDIDATE
9010845880   ,    20160216,     20160218,       133426,         .00,          100.85,       -100.85,            .00,        .0740,F            ,D         ,H          ,R        ,       20160216,               0,      20160216,ZERO_BALANCE_HOLD
9010846851   ,    20160502,     20160502,       224204,         .00,           48.95,        -48.95,            .00,        .0740,F            ,D         ,H          ,R        ,       20160502,               0,      20160502,ZERO_BALANCE_HOLD
9010847191   ,    20250918,     20250919,       141633,     1349.67,         1262.49,         87.18,            .00,        .0740,F            ,D         ,A          ,R        ,       20250918,        20250918,      20250918,ACTIVE_CANDIDATE
9010847570   ,    20220113,     20220421,       125456,         .00,         1243.05,      -1243.05,            .00,        .0740,F            ,D         ,H          ,         ,       20220113,               0,      20220113,ZERO_BALANCE_HOLD
9010847571   ,    20250801,     20250818,       180217,     1471.75,         1362.84,        108.91,            .00,        .0740,F            ,D         ,A          ,R        ,       20120120,        20250801,      20250801,ACTIVE_CANDIDATE
9010848255   ,    20260503,     20260521,       120230,     7957.24,         8112.94,       -155.70,            .00,        .0740,F            ,D         ,H          ,R        ,       20260206,               0,      20260503,ACTIVE_CANDIDATE
9010848256   ,    20260503,     20260521,       120515,     7248.75,         7110.76,        137.99,            .00,        .0740,F            ,D         ,A          ,R        ,       20260503,        20260503,      20260503,ACTIVE_CANDIDATE
9010848292   ,    20260401,     20260529,       181130,     6942.08,         6679.58,        262.50,            .00,        .0740,F            ,D         ,A          ,A        ,       20100930,        20260401,      20260401,ACTIVE_CANDIDATE
9010851112   ,    20220425,     20220425,        93548,         .00,           84.33,        -84.33,            .00,        .0740,F            ,D         ,H          ,R        ,       20220425,               0,      20220425,ZERO_BALANCE_HOLD
9010851148   ,    20240519,     20240621,       102634,         .00,         3038.60,      -3038.60,            .00,        .0740,F            ,D         ,H          ,         ,       20240519,               0,      20240519,ZERO_BALANCE_HOLD
9010851847   ,    20191007,     20191031,       105620,     8342.66,         8952.75,       -610.09,            .00,        .0740,F            ,D         ,H          ,         ,              0,               0,      20191007,ACTIVE_CANDIDATE
9010852709   ,    20180504,     20180531,        91644,         .00,         4766.31,      -4766.31,            .00,        .0740,F            ,D         ,H          ,         ,       20180504,               0,      20180504,ZERO_BALANCE_HOLD
9010852748   ,    20251202,     20251203,       122430,     1209.55,         1309.55,       -100.00,            .00,        .0740,F            ,D         ,H          ,R        ,       20251202,               0,      20251202,ACTIVE_CANDIDATE
9010853070   ,    20200916,     20201116,       182133,         .00,         4774.11,      -4774.11,            .00,        .0740,F            ,D         ,H          ,         ,       20200916,               0,      20200916,ZERO_BALANCE_HOLD
9010853285   ,    20250916,     20250916,       181546,     8747.48,         8100.17,        647.31,            .00,        .0740,F            ,D         ,A          ,R        ,       20240701,        20250916,      20250916,ACTIVE_CANDIDATE
