PLAN,AGE,CNTL,CV0,CV1,CV2,CV3,CV4,CV5,CV6,CV7,CV8,CV9,GENDER,UWCLASS,BAND,ISSCNTRY,ISSUEST,EFFDATE
103PFN,13,01,22.67,26.84,31.19,35.71,40.39,45.28,50.36,55.65,61.14,66.85,F,NS,00,0000,00,19000101
103PFN,13,02,72.78,78.92,85.29,91.89,98.73,105.84,113.23,120.89,128.85,137.11,F,NS,00,0000,00,19000101
103PFN,13,03,145.67,154.53,163.68,173.12,182.85,192.86,203.14,213.70,224.53,235.61,F,NS,00,0000,00,19000101
103PFN,13,04,246.94,258.52,270.37,282.45,294.76,307.32,320.14,333.24,346.62,360.26,F,NS,00,0000,00,19000101
103PFN,13,05,374.20,388.43,402.94,417.71,432.75,448.03,463.54,479.27,495.16,511.20,F,NS,00,0000,00,19000101
103PFN,13,06,527.36,543.63,560.00,576.45,592.96,609.51,626.12,642.77,659.10,675.03,F,NS,00,0000,00,19000101
103PFN,13,07,690.72,706.14,721.24,736.40,750.94,764.96,778.53,792.10,807.12,823.02,F,NS,00,0000,00,19000101
103PFN,13,08,839.48,856.55,874.52,894.90,919.70,953.47,,,,,F,NS,00,0000,00,19000101
103PFN,14,00,.00,.00,.00,.00,1.45,4.83,8.37,12.06,15.89,19.90,F,NS,00,0000,00,19000101
103PFN,14,01,24.08,28.44,32.97,37.67,42.58,47.67,52.97,58.48,64.20,70.15,F,NS,00,0000,00,19000101
103PFN,14,02,76.31,82.69,89.32,96.17,103.30,110.71,118.40,126.38,134.67,143.25,F,NS,00,0000,00,19000101
103PFN,14,03,152.13,161.31,170.78,180.53,190.57,200.88,211.47,222.33,233.44,244.80,F,NS,00,0000,00,19000101
103PFN,14,04,256.42,268.30,280.41,292.76,305.36,318.21,331.35,344.76,358.45,372.42,F,NS,00,0000,00,19000101
103PFN,14,05,386.69,401.24,416.06,431.14,446.46,462.02,477.79,493.73,509.81,526.02,F,NS,00,0000,00,19000101
103PFN,14,06,542.34,558.76,575.25,591.81,608.41,625.06,641.76,658.13,674.11,689.84,F,NS,00,0000,00,19000101
103PFN,14,07,705.31,720.45,735.65,750.23,764.29,777.90,791.51,806.57,822.52,839.03,F,NS,00,0000,00,19000101
103PFN,14,08,856.15,874.16,894.60,919.47,953.34,,,,,,F,NS,00,0000,00,19000101
