mplan,parent_coverage,seq,segt_id,psetg_types,psetg_found
1659CR,659 CEN SR,1,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659CR,659 CEN SR,2,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659CR,659 CEN SR,3,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659CR,659 CEN SR,4,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659CR,659 CEN SR,9,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659CR,659 CEN SR,10,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659CR,659 CEN SR,19,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659CR,659 CEN SR,20,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659CR,659 CEN SR,22,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659CR,659 CEN SR,25,DEFRA,UL,Y
1659CR,659 CEN SR,26,1576 659,PR|UM,Y
1659CR,659 CEN SR,27,AA9B1,CC|CM,Y
1659CR,659 CEN SR,30,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659CR,659 CEN SR,31,659 CEN SR,BP|CV|NP|RV,Y
1659CR,659 CEN SR,33,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659CR,659 CEN SR,34,IBA01 45,C1|IB,Y
1659CR,659 CEN SR,35,L14,C2|CV|ET|IB|LN|NB|NF|NO|NP|PR|PU|RD|RV|TP|TX,Y
1659CR,659 CEN SR,36,659 CEN SR,BP|CV|NP|RV,Y
1659CR,659 CEN SR,38,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659CR,659 CEN SR,39,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659CR,659 CEN SR,40,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659CR,659 CEN SR,41,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659CR,659 CEN SR,44,LIFEWCV,L0|L1|L2,Y
1659CR,659 CEN SR,48,LIFE,BS|BT|DO,Y
1659CS,659 CEN SD,1,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659CS,659 CEN SD,2,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659CS,659 CEN SD,3,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659CS,659 CEN SD,4,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659CS,659 CEN SD,9,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659CS,659 CEN SD,10,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659CS,659 CEN SD,19,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659CS,659 CEN SD,20,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659CS,659 CEN SD,22,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659CS,659 CEN SD,25,DEFRA,UL,Y
1659CS,659 CEN SD,26,1576 659,PR|UM,Y
1659CS,659 CEN SD,27,GA4,CC|CM,Y
1659CS,659 CEN SD,30,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659CS,659 CEN SD,31,659 CEN SD,BP|CV|NP|RV,Y
1659CS,659 CEN SD,33,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659CS,659 CEN SD,34,IBA01 45,C1|IB,Y
1659CS,659 CEN SD,35,L14,C2|CV|ET|IB|LN|NB|NF|NO|NP|PR|PU|RD|RV|TP|TX,Y
1659CS,659 CEN SD,36,659 CEN SD,BP|CV|NP|RV,Y
1659CS,659 CEN SD,38,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659CS,659 CEN SD,39,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659CS,659 CEN SD,40,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659CS,659 CEN SD,41,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659CS,659 CEN SD,44,LIFEWCV,L0|L1|L2,Y
1659CS,659 CEN SD,48,LIFE,BS|BT|DO,Y
1659SR,659 SR GD,1,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659SR,659 SR GD,2,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659SR,659 SR GD,3,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659SR,659 SR GD,4,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659SR,659 SR GD,9,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659SR,659 SR GD,10,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659SR,659 SR GD,19,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659SR,659 SR GD,20,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659SR,659 SR GD,22,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659SR,659 SR GD,25,DEFRA,UL,Y
1659SR,659 SR GD,26,1576 659,PR|UM,Y
1659SR,659 SR GD,27,BA1,CC|CM,Y
1659SR,659 SR GD,30,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659SR,659 SR GD,31,659 CEN SR,BP|CV|NP|RV,Y
1659SR,659 SR GD,33,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659SR,659 SR GD,34,IBA01 45,C1|IB,Y
1659SR,659 SR GD,35,L14,C2|CV|ET|IB|LN|NB|NF|NO|NP|PR|PU|RD|RV|TP|TX,Y
1659SR,659 SR GD,36,659 SR GD,CV|DB|NP|RV,Y
1659SR,659 SR GD,38,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659SR,659 SR GD,39,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659SR,659 SR GD,40,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1659SR,659 SR GD,41,659 SR GD,CV|DB|NP|RV,Y
1659SR,659 SR GD,44,LIFEWCV,L0|L1|L2,Y
1659SR,659 SR GD,48,LIFE,BS|BT|DO,Y
1669SR,669 SR GD,1,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1669SR,669 SR GD,2,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1669SR,669 SR GD,3,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1669SR,669 SR GD,4,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1669SR,669 SR GD,9,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1669SR,669 SR GD,10,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1669SR,669 SR GD,19,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1669SR,669 SR GD,20,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1669SR,669 SR GD,22,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1669SR,669 SR GD,25,DEFRA,UL,Y
1669SR,669 SR GD,26,1576 659,PR|UM,Y
1669SR,669 SR GD,27,BA1,CC|CM,Y
1669SR,669 SR GD,30,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1669SR,669 SR GD,31,659 CEN SR,BP|CV|NP|RV,Y
1669SR,669 SR GD,33,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1669SR,669 SR GD,34,IBA01 45,C1|IB,Y
1669SR,669 SR GD,35,L14,C2|CV|ET|IB|LN|NB|NF|NO|NP|PR|PU|RD|RV|TP|TX,Y
1669SR,669 SR GD,36,669 SR GD,CV,Y
1669SR,669 SR GD,38,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1669SR,669 SR GD,39,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
1669SR,669 SR GD,40,659 CEN II,A1|BP|CV|F0|FC|FR|G1|L=|LC|LN|LP|NC|NF|NP|RT|RV|RX|SC|SL|SR|TP|TX|U5|U6|UF|UG|UH|UI|VN|WC|WD,Y
