legacy_old_value,legacy_new_value,in_product_catalog_crosswalk,authoritative_plan,legacy_matches_authoritative,contains_spaces_old,contains_spaces_new,still_used_by_quikridr_path,p3c_status,dependency_type
665 STME95,2665ST,Y,2665ST,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
0823 665,9665WP,Y,9665WP,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
0822 665,965ADB,Y,965ADB,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
896 DAR,A96DAR,Y,A96DAR,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
0823 896,9896WP,Y,9896WP,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
665 PUA,265PUA,Y,265PUA,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
980 END65,280END,Y,280END,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
980 PUA,280PUA,Y,280PUA,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
670 GL8588,170588,Y,170588,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
670 PUA,170PUA,Y,170PUA,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
670 GL85-8,170858,Y,170858,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
670 PUA,170PUA,Y,170PUA,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
670 GL85-M,17085M,Y,17085M,Y,Y,N,Y,ACTIVE_LEGACY,Master_Crosswalk product row
