TABLE,PLAN,TYPE_CODE,KEY,COLUMN,DROPPED_CAPPED_VALUE,RETAINED_GENUINE_VALUE
QuikGps,1L10SO,PR,1L10SO|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,1L10SO,PR,1L10SO|99|00|M|SM|00|0000|00|19000101,0,0.01,0.01
QuikGps,9STRWP,PR,9STRWP|99|00|M|SM|00|0000|00|19000101,0,1.0,1.0
QuikGps,9STRWP,PR,9STRWP|99|00|M|SM|00|0000|00|19000101,0,1.0,1.0
QuikGps,9STRWP,PR,9STRWP|99|00|M|SM|00|0000|00|19000101,0,1.0,1.0
QuikGps,9STRWP,PR,9STRWP|99|00|M|SM|00|0000|00|19000101,0,1.0,1.0
QuikGps,9STRWP,PR,9STRWP|99|00|M|SM|00|0000|00|19000101,0,1.0,1.0
QuikGps,9STRWP,PR,9STRWP|99|00|M|SM|00|0000|00|19000101,0,1.0,1.0
QuikGps,9STRWP,PR,9STRWP|99|00|M|SM|00|0000|00|19000101,0,1.0,1.0
QuikGps,9STRWP,PR,9STRWP|99|00|M|SM|00|0000|00|19000101,0,1.0,1.0
QuikGps,9STRWP,PR,9STRWP|99|00|M|SM|00|0000|00|19000101,0,1.0,1.0
QuikGps,9STRWP,PR,9STRWP|99|00|M|SM|00|0000|00|19000101,0,1.0,1.0
QuikGps,9STRWP,PR,9STRWP|99|00|M|SM|00|0000|00|19000101,0,1.0,1.0
QuikGps,9STRWP,PR,9STRWP|99|00|M|SM|00|0000|00|19000101,0,1.0,1.0
QuikGps,9STRWP,PR,9STRWP|99|00|M|SM|00|0000|00|19000101,0,1.0,1.0
QuikGps,9STRWP,PR,9STRWP|99|00|M|SM|00|0000|00|19000101,0,1.0,1.0
QuikGps,9STRWP,PR,9STRWP|99|00|M|SM|00|0000|00|19000101,0,1.0,1.0
QuikGps,9STRWP,PR,9STRWP|99|00|M|SM|00|0000|00|19000101,0,1.0,1.0
