Row_Type,Overall_Result,Check_Name,Check_Result,What_We_Checked,Records_Reviewed,Looked_Fine,Problems_Found,Problem_Detail,When_It_Ran,Run_ID,Data_Folder,Rules_Executed,Rules_Passed,Rules_Failed,Rules_Not_Run,Rules_Error,Data_Conformance_Accuracy_Percent,Data_Conformance_Accuracy_Display,Validation_Guide_File,Validation_Manifest_File
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '578STR' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan 'A96DAR' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '528CTR' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '542STR' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '543CTR' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '5646AT' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '5667AT' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '578CTR' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '57ATCR' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '5CDT10' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '5L0110' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '5L01MA' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '5L0510' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '5L075Y' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '719CDT' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '719CTR' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '719SDT' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,229,102,127,QuikPlCv plan '7619DT' contains a blank ETI mortality table.,2026-07-19 10:39:48,DG-20260719_103948_701830,Q:\CSO\CSO_Test_6_30_2026,,,,,,,,,
